"ID","DimensionKey","Title","Description","ParentID"
0,"RegioS","Gemeenten van het jaar 2023","Alleen de gemeenten die in het jaar 2023 hebben bestaan.
NB: bij tabblad 'Perioden' alleen 2023 selecteren.",
1,"RegioS","Gemeentelijst 2023",,0
