"ID","DimensionKey","Title","Description","ParentID"
0,"RegioS","Gemeenten van het jaar 2019","Alleen de gemeenten die in het jaar 2019 hebben bestaan.
NB: bij tabblad 'Perioden' alleen 2019 selecteren.",
1,"RegioS","Gemeentelijst 2019",,0
