"ID","DimensionKey","Title","Description","ParentID"
0,"RegioS","Gemeenten van het jaar 2021","Alleen de gemeenten die in het jaar 2021 hebben bestaan.
NB: bij tabblad 'Perioden' alleen 2021 selecteren.",
1,"RegioS","Gemeentelijst 2021",,0
