"ID","DimensionKey","Title","Description","ParentID"
0,"RegioS","Gemeenten van het jaar 2024","Alleen de gemeenten die in het jaar 2024 hebben bestaan.
NB: bij tabblad 'Perioden' alleen 2024 selecteren.",
1,"RegioS","Gemeentelijst 2024",,0
